"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",24000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","改装済",""
2,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",15000000,"","１Ｋ","20",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
3,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",70000000,"","","65",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
4,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","3",66000000,"","","55",,"ほぼ長方形","4.7","95","令和2年","木造","住宅","住宅","北","私道",3.3,"準工業地域",60,300,"2021年第１四半期","",""
5,"宅地(土地)","商業地","13105","東京都","文京区","大塚","新大塚","4",70000000,"3700000","","65",1100000,"ほぼ長方形","5.0","","","","","住宅","西","区道",10.6,"準工業地域",60,300,"2021年第１四半期","",""
6,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","5",73000000,"","","60",,"ほぼ整形","4.2","85","令和3年","木造","住宅","住宅","北","区道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","私道を含む取引"
7,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","8",81000000,"2300000","","115",700000,"不整形","4.8","","","","","住宅","南西","区道",3.4,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","私道を含む取引"
8,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","5",62000000,"4400000","","45",1300000,"ほぼ長方形","5.1","","","","","住宅","北西","区道",5.4,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
9,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",9300000,"","","15",,"","","","昭和59年","ＳＲＣ","倉庫","その他","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
10,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","1",25000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
11,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","2",16000000,"","１Ｋ","20",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第１四半期","未改装",""
12,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",12000000,"","","20",,"","","","昭和58年","ＲＣ","","住宅","","",,"準工業地域",60,300,"2021年第１四半期","未改装",""
13,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",21000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
14,"宅地(土地と建物)","商業地","13105","東京都","文京区","大塚","茗荷谷","6",580000000,"","","125",,"不整形","18.5","610","平成29年","ＲＣ","共同住宅","住宅","東","区道",20.0,"近隣商業地域",80,400,"2021年第１四半期","",""
15,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","4",95000000,"","３ＬＤＫ","65",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
16,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","0",85000000,"","２ＬＤＫ","55",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
17,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","8",19000000,"","１Ｋ","15",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
18,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","9",23000000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
19,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","6",20000000,"","１Ｒ","15",,"","","","平成9年","ＳＲＣ","住宅","","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
20,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","8",20000000,"","１Ｋ","15",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","",""
21,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","6",22000000,"","１Ｋ","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第１四半期","未改装",""
22,"中古マンション等","","13105","東京都","文京区","大塚","茗荷谷","10",27000000,"","１Ｋ","25",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
23,"中古マンション等","","13105","東京都","文京区","音羽","江戸川橋","3",22000000,"","１Ｋ","15",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
24,"中古マンション等","","13105","東京都","文京区","音羽","護国寺","4",17000000,"","１ＤＫ","25",,"","","","昭和60年","ＳＲＣ","住宅","その他","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
25,"中古マンション等","","13105","東京都","文京区","音羽","護国寺","3",37000000,"","１Ｋ","30",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","改装済",""
26,"中古マンション等","","13105","東京都","文京区","音羽","護国寺","4",47000000,"","１ＬＤＫ","45",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","改装済",""
27,"中古マンション等","","13105","東京都","文京区","音羽","護国寺","2",54000000,"","１ＬＤＫ","40",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","改装済",""
28,"中古マンション等","","13105","東京都","文京区","春日","飯田橋","6",23000000,"","１Ｋ","15",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第１四半期","未改装",""
29,"中古マンション等","","13105","東京都","文京区","春日","飯田橋","9",85000000,"","２ＬＤＫ","70",,"","","","平成16年","ＳＲＣ","","住宅","","",,"第１種住居地域",60,300,"2021年第１四半期","未改装",""
30,"中古マンション等","","13105","東京都","文京区","春日","茗荷谷","9",18000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","",""
